Rk,Tm,Overall
1,MIL,.732
2,TOR,.707
3,GSW,.695
4,DEN,.659
5,POR,.646
6,HOU,.646
7,PHI,.622
8,UTA,.610
9,BOS,.598
10,OKC,.598
11,IND,.585
12,SAS,.585
13,LAC,.585
14,BRK,.512
15,ORL,.512
16,DET,.500
17,CHO,.476
18,SAC,.476
19,MIA,.476
20,LAL,.451
21,MIN,.439
22,MEM,.402
23,NOP,.402
24,DAL,.402
25,WAS,.390
26,ATL,.354
27,CHI,.268
28,CLE,.232
29,PHO,.232
30,NYK,.207
