Rk,Tm,Overall
1,GSW,.817
2,ATL,.732
3,LAC,.683
4,HOU,.683
5,MEM,.671
6,SAS,.671
7,CLE,.646
8,POR,.622
9,CHI,.610
10,DAL,.610
11,TOR,.598
12,WAS,.561
13,OKC,.549
14,NOP,.549
15,MIL,.500
16,BOS,.488
17,PHO,.476
18,BRK,.463
19,UTA,.463
20,IND,.463
21,MIA,.451
22,CHO,.402
23,DET,.390
24,DEN,.366
25,SAC,.354
26,ORL,.305
27,LAL,.256
28,PHI,.220
29,NYK,.207
30,MIN,.195
