Rk,Tm,Overall
1,CHI,.758
2,SAS,.758
3,OKC,.712
4,MIA,.697
5,IND,.636
6,LAL,.621
7,MEM,.621
8,LAC,.606
9,ATL,.606
10,BOS,.591
11,DEN,.576
12,ORL,.561
13,NYK,.545
14,UTA,.545
15,DAL,.545
16,PHI,.530
17,HOU,.515
18,PHO,.500
19,MIL,.470
20,POR,.424
21,MIN,.394
22,DET,.379
23,TOR,.348
24,GSW,.348
25,NJN,.333
26,SAC,.333
27,CLE,.318
28,NOH,.318
29,WAS,.303
30,CHA,.106
