Player,Tm,G,PER,WS/48,VORP
Jeff Adrien,GSW,23,11.3,.051,-0.2
Arron Afflalo,DEN,69,13.6,.128,2.0
Maurice Ager,MIN,4,10.1,-0.015,0.0
Alexis Ajinça,TOT,34,12.2,.052,-0.2
Alexis Ajinça,DAL,10,12.8,.084,0.0
Alexis Ajinça,TOR,24,12.0,.042,-0.1
Solomon Alabi,TOR,12,2.0,-0.142,-0.1
Cole Aldrich,OKC,18,7.0,.066,-0.1
LaMarcus Aldridge,POR,81,21.5,.166,3.4
Malik Allen,ORL,18,3.3,.046,-0.2
Ray Allen*,BOS,80,16.4,.166,3.6
Tony Allen,MEM,72,18.4,.152,2.1
Al-Farouq Aminu,LAC,81,9.6,.022,-0.3
Lou Amundson,GSW,46,11.5,.044,-0.4
Chris Andersen,DEN,45,19.0,.207,0.9
David Andersen,TOT,40,10.9,.032,-0.1
David Andersen,TOR,11,13.8,.063,0.1
David Andersen,NOH,29,8.9,.012,-0.2
James Anderson,SAS,26,8.5,.051,0.0
Ryan Anderson,ORL,64,19.0,.216,2.4
Carmelo Anthony,TOT,77,21.7,.138,2.7
Carmelo Anthony,DEN,50,21.2,.127,1.5
Carmelo Anthony,NYK,27,22.8,.157,1.2
Joel Anthony,MIA,75,7.3,.107,0.2
Gilbert Arenas,TOT,70,10.8,.014,-0.2
Gilbert Arenas,WAS,21,14.0,.025,0.2
Gilbert Arenas,ORL,49,8.6,.007,-0.4
Trevor Ariza,NOH,75,11.3,.062,1.0
Hilton Armstrong,TOT,53,8.8,.045,-0.2
Hilton Armstrong,WAS,41,8.6,.043,-0.2
Hilton Armstrong,ATL,12,10.1,.054,0.0
Carlos Arroyo,TOT,64,9.0,.068,-0.1
Carlos Arroyo,MIA,49,9.5,.078,0.0
Carlos Arroyo,BOS,15,6.7,.016,-0.1
Darrell Arthur,MEM,80,15.7,.113,0.2
Ömer Aşık,CHI,82,11.8,.130,0.1
D.J. Augustin,CHA,82,15.9,.108,1.5
Luke Babbitt,POR,24,1.0,-0.143,-0.3
Renaldo Balkman,TOT,8,9.3,.114,0.0
Renaldo Balkman,DEN,5,12.8,.182,0.0
Renaldo Balkman,NYK,3,0.7,-0.050,0.0
Marcus Banks,TOR,3,6.8,.011,0.0
Leandro Barbosa,TOR,58,15.3,.052,0.2
J.J. Barea,DAL,81,14.8,.093,0.6
