Rk,Tm,Overall
1,MIA,.805
2,OKC,.732
3,SAS,.707
4,DEN,.695
5,LAC,.683
6,MEM,.683
7,NYK,.659
8,IND,.605
9,BRK,.598
10,GSW,.573
11,CHI,.549
12,LAL,.549
13,HOU,.549
14,ATL,.537
15,UTA,.524
16,BOS,.506
17,DAL,.500
18,MIL,.463
19,PHI,.415
20,TOR,.415
21,POR,.402
22,MIN,.378
23,DET,.354
24,WAS,.354
25,SAC,.341
26,NOH,.329
27,PHO,.305
28,CLE,.293
29,CHA,.256
30,ORL,.244
