Rk,Tm,Overall
1,BOS,.805
2,DET,.720
3,LAL,.695
4,NOH,.683
5,SAS,.683
6,PHO,.671
7,HOU,.671
8,UTA,.659
9,ORL,.634
10,DAL,.622
11,DEN,.610
12,GSW,.585
13,CLE,.549
14,WAS,.524
15,TOR,.500
16,POR,.500
17,PHI,.488
18,SAC,.463
19,ATL,.451
20,IND,.439
21,NJN,.415
22,CHI,.402
23,CHA,.390
24,MIL,.317
25,NYK,.280
26,LAC,.280
27,MIN,.268
28,MEM,.268
29,SEA,.244
30,MIA,.183
