Player,Tm,G,PER,WS/48,VORP
Justin Dentmon,SAS,2,1.6,-0.090,0.0
Justin Dentmon,TOR,4,5.7,-0.039,-0.1
DeMar DeRozan,TOR,63,12.8,.054,-0.4
Boris Diaw,TOT,57,11.2,.019,0.1
Boris Diaw,CHA,37,10.8,-0.023,-0.2
Boris Diaw,SAS,20,12.1,.125,0.3
Ike Diogu,SAS,2,-2.9,-0.116,0.0
DeSagana Diop,CHA,27,6.8,-0.025,-0.3
Keyon Dooling,BOS,46,6.9,.042,-0.4
Toney Douglas,NYK,38,7.1,-0.046,-0.6
Goran Dragić,HOU,66,18.0,.139,1.7
Jared Dudley,PHO,65,15.4,.121,1.7
Chris Duhon,ORL,63,8.4,.051,0.1
Tim Duncan*,SAS,58,22.5,.174,2.2
Mike Dunleavy,MIL,55,16.6,.146,1.3
Kevin Durant,OKC,66,26.2,.230,5.8
Jerome Dyson,NOH,9,11.3,.026,-0.1
Devin Ebanks,LAL,24,8.3,.033,-0.2
Wayne Ellington,MIN,51,9.4,.041,-0.2
Monta Ellis,TOT,58,17.5,.059,0.9
Monta Ellis,GSW,37,18.6,.054,0.9
Monta Ellis,MIL,21,15.4,.067,0.0
Francisco Elson,PHI,5,6.3,-0.026,0.0
Andre Emmett,NJN,6,13.3,.089,0.0
Semih Erden,CLE,28,9.9,.057,-0.2
Jeremy Evans,UTA,29,19.6,.193,0.4
Maurice Evans,WAS,24,9.0,.041,-0.1
Reggie Evans,LAC,56,9.2,.079,-0.3
Tyreke Evans,SAC,63,16.4,.059,0.8
Christian Eyenga,TOT,7,4.8,-0.061,-0.1
Christian Eyenga,CLE,6,2.1,-0.103,-0.1
Christian Eyenga,LAL,1,16.7,.122,0.0
Kenneth Faried,DEN,46,21.9,.212,1.1
Jordan Farmar,NJN,39,17.4,.104,0.5
Derrick Favors,UTA,65,17.1,.105,0.3
Raymond Felton,POR,60,13.4,.042,0.2
Rudy Fernández,DEN,31,13.3,.083,0.5
Kyrylo Fesenko,IND,3,29.8,.374,0.0
Landry Fields,NYK,66,12.0,.085,1.0
Derek Fisher,TOT,63,8.0,.038,-0.5
Derek Fisher,LAL,43,8.8,.048,-0.2
Derek Fisher,OKC,20,5.9,.011,-0.3
Jonny Flynn,TOT,29,11.2,.012,-0.3
Jonny Flynn,HOU,11,8.8,-0.006,-0.1
Jonny Flynn,POR,18,12.3,.020,-0.2
Jeff Foote,NOH,4,-0.9,-0.079,-0.1
Gary Forbes,TOR,48,13.3,.053,0.2
T.J. Ford,SAS,14,11.0,.053,0.0
Courtney Fortson,TOT,10,9.9,-0.019,-0.1
Courtney Fortson,LAC,4,11.4,.030,0.0
Courtney Fortson,HOU,6,8.5,-0.065,0.0
Jeff Foster,IND,11,11.1,.134,0.1
Randy Foye,LAC,65,13.5,.092,0.9
Jimmer Fredette,SAC,61,10.8,.012,-0.4
Enes Freedom,UTA,66,14.5,.095,-0.2
Channing Frye,PHO,64,14.9,.106,1.2
Dan Gadzuric,NYK,2,-4.3,-0.169,0.0
Sundiata Gaines,NJN,57,15.0,.059,0.5
Danilo Gallinari,DEN,43,16.5,.140,1.3
Francisco García,SAC,49,10.7,.048,0.3
Kevin Garnett*,BOS,60,20.4,.178,2.9
Marc Gasol,MEM,65,18.4,.166,3.1
Pau Gasol,LAL,65,20.4,.165,3.3
Rudy Gay,MEM,65,17.8,.120,2.4
Alonzo Gee,CLE,63,13.2,.063,0.3
Paul George,IND,66,16.5,.148,2.7
Daniel Gibson,CLE,35,9.2,.028,-0.1
Taj Gibson,CHI,63,16.9,.167,0.9
Manu Ginóbili*,SAS,34,24.1,.257,1.8
Mickell Gladness,TOT,26,9.5,.029,-0.2
Mickell Gladness,MIA,8,1.8,-0.004,0.0
Mickell Gladness,GSW,18,10.5,.033,-0.1
Ryan Gomes,LAC,32,4.4,-0.021,-0.4
Drew Gooden,MIL,56,18.8,.116,1.1
Ben Gordon,DET,52,13.5,.058,0.1
Eric Gordon,NOH,9,19.2,.115,0.3
Marcin Gortat,PHO,66,21.2,.172,2.3
Andrew Goudelock,LAL,40,8.4,.011,-0.3
Danny Granger,IND,62,18.6,.155,2.5
Aaron Gray,TOR,49,11.1,.082,-0.3
Danny Green,SAS,66,15.5,.142,1.9
Gerald Green,NJN,31,15.8,.072,0.4
Willie Green,ATL,53,13.9,.122,0.3
Donté Greene,SAC,53,11.8,.041,-0.1
Blake Griffin,LAC,66,23.4,.185,3.4
Hamed Haddadi,MEM,35,16.3,.131,0.0
Jordan Hamilton,DEN,26,13.9,.055,0.1
Richard Hamilton,CHI,28,13.2,.092,0.1
Tyler Hansbrough,IND,66,14.7,.129,0.1
Luke Harangody,CLE,21,10.4,.046,-0.1
James Harden,OKC,62,21.1,.230,3.1
