Player,Tm,G,PER,WS/48,VORP
Arron Afflalo,DEN,82,10.9,.092,0.9
Alexis Ajinça,CHA,6,6.3,-0.013,0.0
LaMarcus Aldridge,POR,78,18.2,.145,2.3
Joe Alexander,CHI,8,2.8,.030,0.0
Malik Allen,DEN,51,5.9,.009,-0.4
Ray Allen*,BOS,80,15.2,.135,2.3
Tony Allen,BOS,54,14.2,.100,0.5
Rafer Alston,TOT,52,8.2,-0.013,-0.6
Rafer Alston,NJN,27,8.7,-0.051,-0.4
Rafer Alston,MIA,25,7.7,.031,-0.2
Lou Amundson,PHO,79,14.4,.118,0.3
Chris Andersen,DEN,76,15.8,.166,1.6
David Andersen,HOU,63,12.1,.070,-0.1
Antonio Anderson,OKC,1,-1.7,-0.104,0.0
Ryan Anderson,ORL,63,18.1,.161,1.0
Carmelo Anthony,DEN,69,22.2,.145,2.9
Joel Anthony,MIA,80,10.2,.111,0.1
Gilbert Arenas,WAS,32,18.7,.072,1.1
Trevor Ariza,HOU,72,13.3,.058,1.7
Hilton Armstrong,TOT,33,6.9,-0.017,-0.4
Hilton Armstrong,NOH,18,7.5,.010,-0.2
Hilton Armstrong,SAC,6,8.4,-0.012,0.0
Hilton Armstrong,HOU,9,1.1,-0.185,-0.1
Carlos Arroyo,MIA,72,12.3,.113,0.2
Darrell Arthur,MEM,32,10.5,.031,-0.2
Chucky Atkins,DET,40,8.3,.017,-0.4
D.J. Augustin,CHA,80,11.2,.092,0.3
Jeff Ayres,POR,39,12.1,.156,-0.1
Kelenna Azubuike,GSW,9,19.8,.148,0.2
Renaldo Balkman,DEN,13,6.6,-0.001,0.0
Marcus Banks,TOR,22,15.3,.095,0.1
Leandro Barbosa,PHO,44,14.0,.065,0.0
J.J. Barea,DAL,78,12.8,.069,0.3
Andrea Bargnani,TOR,80,15.5,.072,0.9
Matt Barnes,ORL,81,13.6,.135,1.7
Earl Barron,NYK,7,14.7,.091,-0.1
Brandon Bass,ORL,50,16.5,.147,0.2
Tony Battie,NJN,15,6.1,-0.014,-0.2
Shane Battier,HOU,67,11.1,.095,1.9
Nicolas Batum,POR,37,17.3,.181,1.4
Jerryd Bayless,POR,74,14.3,.098,0.1
Michael Beasley,MIA,78,16.1,.095,0.7
Rodrigue Beaubois,DAL,56,18.5,.134,0.6
Marco Belinelli,TOR,66,12.6,.049,0.2
Charlie Bell,MIL,71,7.9,.060,-0.2
Raja Bell,TOT,6,13.8,.131,0.2
Raja Bell,CHA,5,12.8,.113,0.2
Raja Bell,GSW,1,20.6,.256,0.1
Jonathan Bender,NYK,25,10.8,-0.001,-0.2
Mike Bibby,ATL,80,12.7,.104,1.0
Andris Biedriņš,GSW,33,13.0,.101,0.4
Chauncey Billups,DEN,73,20.2,.182,3.6
DeJuan Blair,SAS,82,17.7,.147,0.5
Steve Blake,TOT,80,11.6,.074,0.8
Steve Blake,POR,51,11.2,.082,0.8
Steve Blake,LAC,29,12.3,.058,0.0
Andray Blatche,WAS,81,17.6,.073,1.5
Keith Bogans,SAS,79,7.7,.081,0.3
Andrew Bogut,MIL,69,20.7,.161,2.8
Matt Bonner,SAS,65,14.9,.153,1.3
Josh Boone,NJN,63,13.7,.084,0.0
Carlos Boozer,UTA,78,21.3,.178,3.7
Chris Bosh*,TOR,70,25.0,.182,3.6
Ryan Bowen,OKC,1,31.3,.509,0.0
Earl Boykins,WAS,67,12.9,.042,-0.1
Elton Brand,PHI,76,15.7,.073,0.1
Corey Brewer,MIN,82,12.1,.020,-0.1
Ronnie Brewer,TOT,58,12.5,.103,1.4
Ronnie Brewer,UTA,53,12.8,.108,1.4
Ronnie Brewer,MEM,5,5.9,-0.010,0.0
Primož Brezec,TOT,21,4.9,-0.007,-0.2
Primož Brezec,PHI,7,0.4,-0.113,-0.1
Primož Brezec,MIL,14,7.6,.057,-0.1
Jon Brockman,SAC,52,12.4,.125,-0.2
Aaron Brooks,HOU,82,16.0,.091,1.9
Bobby Brown,TOT,45,9.3,-0.050,-0.4
Bobby Brown,NOH,22,10.0,-0.026,-0.2
Bobby Brown,LAC,23,8.2,-0.092,-0.2
Derrick Brown,CHA,57,12.6,.114,0.2
Devin Brown,TOT,50,10.0,.017,-0.2
Devin Brown,NOH,39,10.9,.031,0.0
Devin Brown,CHI,11,0.4,-0.129,-0.1
Kwame Brown,DET,48,7.9,-0.009,-0.6
Shannon Brown,LAL,82,12.4,.096,0.7
Kobe Bryant*,LAL,73,21.9,.160,4.4
Chase Budinger,HOU,74,14.1,.100,0.9
Caron Butler,TOT,74,13.7,.061,0.5
Caron Butler,WAS,47,13.5,.054,0.3
Caron Butler,DAL,27,14.2,.075,0.2
Rasual Butler,LAC,82,10.7,.048,0.1
Andrew Bynum,LAL,65,20.2,.188,1.8
Will Bynum,DET,63,13.8,.054,-0.1
