Player,Tm,G,PER,WS/48,VORP
Alex Acker,TOT,25,10.4,-0.011,-0.1
Alex Acker,DET,7,16.0,.009,0.0
Alex Acker,LAC,18,9.8,-0.013,-0.1
Hassan Adams,TOR,12,0.4,-0.144,-0.1
Arron Afflalo,DET,74,8.9,.069,-0.2
Maurice Ager,NJN,20,2.2,-0.133,-0.2
Blake Ahearn,SAS,3,12.9,.149,0.0
Alexis Ajinça,CHA,31,7.0,-0.018,-0.3
LaMarcus Aldridge,POR,81,19.1,.151,2.5
Joe Alexander,MIL,59,10.1,.030,-0.3
Malik Allen,MIL,49,7.3,.024,-0.4
Ray Allen*,BOS,79,17.3,.186,4.3
Tony Allen,BOS,46,12.9,.085,0.5
Morris Almond,UTA,25,7.3,.010,-0.3
Rafer Alston,TOT,77,13.8,.104,1.8
Rafer Alston,HOU,48,12.8,.088,0.9
Rafer Alston,ORL,29,15.6,.135,0.9
Lou Amundson,PHO,76,13.3,.082,-0.1
Chris Andersen,DEN,71,18.1,.176,1.5
Ryan Anderson,NJN,66,13.6,.090,0.3
Carmelo Anthony,DEN,66,19.0,.105,1.5
Joel Anthony,MIA,65,9.3,.079,-0.2
Gilbert Arenas,WAS,2,18.9,.115,0.0
Trevor Ariza,LAL,82,15.5,.146,2.3
Hilton Armstrong,NOH,70,10.7,.068,-0.5
Darrell Arthur,MEM,76,11.3,.055,-0.5
Chucky Atkins,TOT,33,6.2,-0.018,-0.3
Chucky Atkins,DEN,14,8.9,.019,0.0
Chucky Atkins,OKC,19,5.1,-0.032,-0.3
D.J. Augustin,CHA,72,14.9,.128,1.4
Kelenna Azubuike,GSW,74,14.7,.083,0.9
Renaldo Balkman,DEN,53,16.8,.162,0.7
Marcus Banks,TOT,22,7.8,-0.008,-0.1
Marcus Banks,MIA,16,8.7,.023,0.0
Marcus Banks,TOR,6,4.0,-0.139,-0.1
Leandro Barbosa,PHO,70,19.4,.141,1.7
J.J. Barea,DAL,79,13.4,.066,0.2
Andrea Bargnani,TOR,78,14.6,.076,0.7
Matt Barnes,PHO,77,12.6,.069,0.8
Brent Barry,HOU,56,9.2,.082,0.5
Brandon Bass,DAL,81,16.4,.124,0.2
Maceo Baston,IND,27,12.3,.105,-0.1
Tony Battie,ORL,77,11.9,.113,0.1
Shane Battier,HOU,60,10.7,.123,2.0
Nicolas Batum,POR,79,12.9,.123,1.2
Jerryd Bayless,POR,53,8.2,.019,-0.5
Michael Beasley,MIA,81,17.2,.081,0.1
Marco Belinelli,GSW,42,11.8,.028,-0.1
