Player,Tm,G,PER,WS/48,VORP
Reggie Evans,DEN,66,13.5,.096,-0.1
Daniel Ewing,LAC,61,9.3,.033,-0.1
Jordan Farmar,LAL,72,10.8,.038,0.1
Desmon Farmer,SEA,8,15.4,.074,0.0
Raymond Felton,CHA,78,13.5,.039,0.9
Michael Finley,SAS,82,13.7,.125,1.2
Derek Fisher,UTA,82,11.4,.083,0.2
T.J. Ford,TOR,75,18.2,.091,1.6
Danny Fortson,SEA,14,4.3,-0.013,-0.3
Jeff Foster,IND,75,13.0,.124,0.5
Randy Foye,MIN,82,14.0,.058,0.5
Adonal Foyle,GSW,48,13.7,.104,0.2
Steve Francis,NYK,44,15.1,.113,0.9
Matt Freije,ATL,19,6.1,-0.034,-0.1
Channing Frye,NYK,72,10.5,.024,-0.9
Dan Gadzuric,MIL,54,11.9,.043,-0.7
Jorge Garbajosa,TOR,67,12.1,.074,1.1
Francisco García,SAC,79,11.7,.080,0.3
Kevin Garnett*,MIN,76,24.1,.171,5.5
Pat Garrity,ORL,33,6.4,.038,-0.2
Pau Gasol,MEM,59,24.1,.155,3.0
Rudy Gay,MEM,78,12.4,.011,-0.1
Mickaël Gelabale,SEA,70,9.8,.050,-0.2
Devean George,DAL,60,9.7,.078,0.2
Daniel Gibson,CLE,60,9.4,.098,0.3
Manu Ginóbili*,SAS,75,24.1,.246,5.1
Gordan Giriček,UTA,61,11.3,.076,0.2
Andreas Glyniadakis,SEA,13,-3.3,-0.143,-0.2
Ryan Gomes,BOS,73,13.7,.089,0.3
Drew Gooden,CLE,80,16.5,.139,1.0
Ben Gordon,CHI,82,18.2,.152,3.0
Joey Graham,TOR,79,12.9,.108,0.0
Stephen Graham,POR,14,5.4,-0.027,-0.2
Danny Granger,IND,82,13.9,.111,1.5
Gerald Green,BOS,81,12.0,.042,-0.2
Willie Green,PHI,74,10.3,-0.018,-1.2
Orien Greene,IND,41,6.5,-0.034,-0.2
Lynn Greer,MIL,41,14.0,.083,0.1
Adrian Griffin,CHI,54,10.7,.103,0.3
Eddie Griffin,MIN,13,5.2,-0.088,-0.1
Mike Hall,WAS,2,3.1,-0.073,0.0
Richard Hamilton,DET,75,18.1,.141,2.2
Matt Harpring,UTA,77,14.7,.115,0.5
Al Harrington,TOT,78,14.8,.080,0.7
Al Harrington,IND,36,13.4,.059,0.1
Al Harrington,GSW,42,16.1,.099,0.6
Junior Harrington,MEM,29,8.9,-0.015,-0.4
Othella Harrington,CHA,26,5.0,.003,-0.3
Devin Harris,DAL,80,16.0,.151,1.7
David Harrison,IND,24,7.0,-0.040,-0.3
Jason Hart,TOT,36,12.3,.085,0.2
Jason Hart,SAC,13,14.5,.160,0.0
Jason Hart,LAC,23,12.0,.075,0.1
Udonis Haslem,MIA,79,13.7,.099,-0.2
Trenton Hassell,MIN,76,9.7,.056,0.0
Chuck Hayes,HOU,78,13.9,.179,0.6
Jarvis Hayes,WAS,81,10.7,.045,-0.3
Brendan Haywood,WAS,77,14.2,.095,0.1
Luther Head,HOU,80,13.7,.123,2.0
Alan Henderson,PHI,38,15.7,.181,0.1
Walter Herrmann,CHA,48,16.1,.125,0.7
Nenê,DEN,64,17.8,.148,1.0
Grant Hill*,ORL,65,16.3,.123,1.6
Kirk Hinrich,CHI,80,17.0,.171,3.5
Robert Hite,MIA,12,7.4,-0.055,-0.1
Julius Hodge,TOT,9,14.0,.115,0.0
Julius Hodge,DEN,4,16.0,.174,0.0
Julius Hodge,MIL,5,11.4,.037,0.0
Ryan Hollins,CHA,27,8.5,.040,-0.2
Robert Horry,SAS,68,11.9,.125,1.2
Eddie House,NJN,56,15.0,.094,0.5
Dwight Howard,ORL,82,21.1,.154,3.7
Josh Howard,DAL,70,20.0,.173,3.2
Juwan Howard,HOU,80,12.8,.110,0.0
Troy Hudson,MIN,34,10.8,.005,0.0
Larry Hughes,CLE,70,12.1,.073,0.8
Kris Humphries,TOR,60,13.5,.107,-0.2
Lindsey Hunter,DET,52,12.7,.085,0.3
Steven Hunter,PHI,70,12.3,.085,0.1
Andre Iguodala,PHI,76,18.1,.120,3.4
Zydrunas Ilgauskas,CLE,78,18.0,.148,1.3
Mile Ilić,NJN,5,-48.6,-1.264,-0.1
D.J. Mbenga,DAL,21,7.2,.055,0.0
Ersan İlyasova,MIL,66,12.1,.051,-0.2
Allen Iverson*,TOT,65,19.6,.108,2.6
Allen Iverson*,PHI,15,23.5,.119,1.0
Allen Iverson*,DEN,50,18.4,.105,1.7
Royal Ivey,ATL,53,9.6,.030,-0.2
Jarrett Jack,POR,79,14.5,.087,0.9
Bobby Jackson,NOK,56,15.1,.088,0.8
Luke Jackson,TOT,13,10.3,.043,-0.1
Luke Jackson,LAC,3,-6.0,-0.273,0.0
Luke Jackson,TOR,10,12.5,.084,0.0
Marc Jackson,NOK,56,11.9,.033,-0.4
Stephen Jackson,TOT,75,14.4,.079,0.9
Stephen Jackson,IND,37,13.1,.069,0.3
Stephen Jackson,GSW,38,15.7,.089,0.5
Jerome James,NYK,41,5.1,-0.031,-0.5
LeBron James,CLE,78,24.5,.206,8.1
Mike James,MIN,82,13.3,.065,0.2
Antawn Jamison,WAS,70,18.4,.123,2.2
Marko Jarić,MIN,70,9.6,.048,0.1
Šarūnas Jasikevičius,TOT,63,12.4,.056,-0.1
Šarūnas Jasikevičius,IND,37,12.9,.072,0.0
Šarūnas Jasikevičius,GSW,26,11.3,.023,-0.1
Al Jefferson,BOS,69,19.8,.137,1.6
Richard Jefferson,NJN,55,13.8,.082,0.3
Jared Jeffries,NYK,55,8.6,.043,0.2
Alexander Johnson,MEM,59,13.2,.083,-0.3
Amir Johnson,DET,8,20.6,.183,0.1
Anthony Johnson,TOT,67,9.9,.045,-0.5
Anthony Johnson,DAL,40,9.3,.070,-0.1
Anthony Johnson,ATL,27,10.3,.026,-0.5
DerMarr Johnson,DEN,39,6.1,-0.032,-0.2
Joe Johnson,ATL,57,19.5,.105,2.7
Linton Johnson,NOK,54,14.0,.125,0.4
Bobby Jones,PHI,44,9.4,.045,-0.2
Dahntay Jones,MEM,78,9.6,.019,-1.1
Damon Jones,CLE,60,10.2,.097,0.5
Dwayne Jones,CLE,4,-0.5,-0.068,0.0
Eddie Jones,TOT,64,12.3,.094,1.0
Eddie Jones,MEM,29,8.6,.013,-0.2
Eddie Jones,MIA,35,14.3,.138,1.1
Fred Jones,TOT,63,10.0,.044,0.1
Fred Jones,TOR,39,9.9,.043,0.1
Fred Jones,POR,24,10.3,.044,0.0
James Jones,PHO,76,10.8,.077,0.5
Jumaine Jones,PHO,18,3.2,-0.061,-0.2
Solomon Jones,ATL,58,12.3,.117,-0.2
Chris Kaman,LAC,75,12.9,.063,-0.5
Jason Kapono,MIA,67,13.8,.114,0.7
Viktor Khryapa,CHI,33,9.5,.087,-0.1
Jason Kidd*,NJN,80,19.4,.152,4.9
Tarence Kinsey,MEM,48,13.0,.046,0.0
Andrei Kirilenko,UTA,70,14.3,.104,3.0
Linas Kleiza,DEN,79,11.1,.090,-0.2
Brevin Knight,CHA,45,14.3,.070,0.3
Yaroslav Korolev,LAC,10,8.0,-0.057,0.0
Kyle Korver,PHI,74,14.2,.097,1.1
Nenad Krstić,NJN,26,16.9,.109,0.4
Raef LaFrentz,POR,27,8.7,.021,-0.3
James Lang,WAS,11,6.6,.047,-0.1
David Lee,NYK,58,20.2,.191,2.2
Rashard Lewis,SEA,60,20.7,.155,3.6
Randy Livingston,SEA,4,-1.2,-0.116,-0.1
Shaun Livingston,LAC,54,13.7,.072,0.8
Kyle Lowry,MEM,10,18.3,.148,0.3
John Lucas III,HOU,47,11.8,.081,0.1
Tyronn Lue,ATL,56,14.1,.081,0.0
Mark Madsen,MIN,56,4.5,.042,-0.4
Corey Maggette,LAC,75,18.6,.146,1.5
Jamaal Magloire,POR,81,11.5,.032,-1.0
Renaldo Major,GSW,1,-3.7,-0.196,-0.1
Stephon Marbury,NYK,74,15.3,.103,1.5
Shawn Marion,PHO,80,20.8,.191,4.8
Damir Markota,MIL,30,5.0,-0.070,-0.3
Sean Marks,PHO,3,6.7,.043,0.0
Donyell Marshall,CLE,81,15.3,.135,1.3
Rawle Marshall,IND,40,6.7,.001,-0.2
Darrick Martin,TOR,31,11.6,.031,-0.1
Kenyon Martin,DEN,2,5.4,-0.036,-0.1
Kevin Martin,SAC,80,20.1,.173,3.4
Desmond Mason,NOK,75,10.8,.011,-1.3
Roger Mason,WAS,62,7.2,-0.005,-0.3
Jason Maxiell,DET,67,14.4,.091,0.0
Sean May,CHA,35,19.1,.127,0.7
Rashad McCants,MIN,37,7.2,-0.023,-0.4
Chris McCray,MIL,5,-20.7,-0.537,-0.1
Antonio McDyess,DET,82,18.1,.168,1.1
Ivan McFarlin,PHI,11,12.2,.102,0.0
Tracy McGrady*,HOU,71,23.2,.163,5.2
Jeff McInnis,CHA,38,7.7,-0.004,-0.6
Aaron McKie,LAL,10,7.5,.039,-0.1
Keith McLeod,TOT,48,10.2,.051,-0.2
Keith McLeod,GSW,26,12.3,.073,0.0
Keith McLeod,IND,22,8.0,.027,-0.3
Stanislav Medvedenko,ATL,14,13.7,.107,-0.1
Pops Mensah-Bonsu,DAL,12,11.6,.022,-0.1
C.J. Miles,UTA,37,2.8,-0.062,-0.5
Darko Miličić,ORL,80,13.8,.082,0.7
Andre Miller,TOT,80,16.1,.095,1.7
Andre Miller,DEN,23,16.6,.113,0.6
Andre Miller,PHI,57,15.9,.088,1.1
Brad Miller,SAC,63,13.5,.072,0.9
Mike Miller,MEM,70,16.4,.085,2.3
Paul Millsap,UTA,82,17.6,.153,0.9
Yao Ming*,HOU,48,26.5,.220,2.8
Cuttino Mobley,LAC,78,12.5,.078,0.8
Nazr Mohammed,DET,51,16.5,.145,0.0
Mikki Moore,NJN,79,14.8,.131,0.4
Randolph Morris,NYK,5,1.5,-0.083,0.0
Adam Morrison,CHA,78,7.9,-0.030,-1.8
Alonzo Mourning*,MIA,77,16.7,.107,0.0
Troy Murphy,TOT,68,14.5,.116,1.1
Troy Murphy,GSW,26,14.8,.124,0.5
Troy Murphy,IND,42,14.3,.112,0.6
Ronald Murray,DET,69,10.8,.042,-0.1
Dikembe Mutombo*,HOU,75,14.4,.192,0.8
Boštjan Nachbar,NJN,76,14.5,.128,0.9
Eduardo Nájera,DEN,75,13.5,.138,0.9
Steve Nash*,PHO,76,23.8,.225,5.3
Jameer Nelson,ORL,77,13.9,.082,0.8
Rasho Nesterović,TOR,80,13.9,.118,0.7
Ira Newble,CLE,15,14.9,.179,0.1
Andrés Nocioni,CHI,53,15.6,.139,1.0
David Noel,MIL,68,9.0,.024,-0.2
Steve Novak,HOU,35,7.7,.091,0.0
Dirk Nowitzki,DAL,78,27.6,.278,7.4
Patrick O'Bryant,GSW,16,7.3,-0.003,-0.1
Jermaine O'Neal,IND,69,18.8,.091,1.7
Shaquille O'Neal*,MIA,40,21.7,.119,1.1
Fabricio Oberto,SAS,79,11.9,.144,0.2
Lamar Odom,LAL,56,16.1,.102,1.7
Emeka Okafor,CHA,67,20.1,.147,2.4
Mehmet Okur,UTA,80,18.1,.158,2.8
Kevin Ollie,PHI,53,8.4,.030,-0.5
Michael Olowokandi,BOS,24,4.5,-0.017,-0.2
Bo Outlaw,ORL,41,11.4,.126,0.3
Travis Outlaw,POR,67,15.3,.072,0.6
Zaza Pachulia,ATL,72,16.8,.114,0.6
Scott Padgett,TOT,31,4.9,.019,-0.1
Scott Padgett,HOU,24,5.6,.046,-0.1
Scott Padgett,MEM,7,0.9,-0.140,-0.1
Jannero Pargo,NOK,82,13.4,.056,0.5
Anthony Parker,TOR,73,14.5,.127,2.1
Smush Parker,LAL,82,11.6,.045,0.0
Tony Parker,SAS,77,21.4,.185,3.2
Ruben Patterson,MIL,81,18.5,.103,1.9
Chris Paul,NOK,64,22.0,.179,4.2
Sasha Pavlović,CLE,67,12.1,.098,0.5
Gary Payton*,MIA,68,9.0,.042,-0.5
Kendrick Perkins,BOS,72,9.5,.042,-0.3
Morris Peterson,TOR,71,13.2,.091,0.8
Johan Petro,SEA,81,11.6,.053,-0.6
Eric Piatkowski,PHO,11,7.7,.007,0.0
Paul Pierce*,BOS,47,21.7,.148,2.7
Mickaël Piétrus,GSW,72,13.0,.088,0.4
Kevinn Pinkney,BOS,6,11.6,.075,0.0
Scot Pollard,CLE,24,8.5,.100,-0.1
James Posey,MIA,71,12.7,.130,1.4
Vitaly Potapenko,SAC,3,-22.1,-0.534,-0.1
Leon Powe,BOS,63,14.6,.116,-0.3
Josh Powell,TOT,37,9.6,.036,-0.4
Josh Powell,IND,7,-1.3,-0.096,-0.2
Josh Powell,GSW,30,12.0,.065,-0.2
Roger Powell,UTA,3,-8.3,-0.327,-0.1
Ronnie Price,SAC,58,10.5,.035,0.0
Tayshaun Prince,DET,82,16.0,.128,2.9
Joel Przybilla,POR,43,7.4,.020,-0.3
Chris Quinn,MIA,42,12.3,.070,0.0
Vladimir Radmanović,LAL,55,11.0,.040,-0.2
Shavlik Randolph,PHI,13,15.3,.102,0.1
Zach Randolph,POR,68,22.8,.112,2.2
Theo Ratliff,BOS,2,6.7,.073,0.0
Allan Ray,BOS,47,10.0,.039,-0.1
Michael Redd,MIL,53,22.3,.145,2.5
J.J. Redick,ORL,42,13.0,.134,0.3
Justin Reed,MIN,41,6.3,-0.037,-0.5
Jared Reiner,MIL,27,4.8,-0.027,-0.4
Jason Richardson,GSW,51,15.5,.085,1.2
Jeremy Richardson,TOT,6,13.8,.099,0.0
Jeremy Richardson,ATL,5,14.5,.105,0.0
Jeremy Richardson,POR,1,0.0,-0.021,0.0
Quentin Richardson,NYK,49,14.3,.104,1.1
Luke Ridnour,SEA,71,13.7,.052,0.2
Anthony Roberson,GSW,20,11.4,.031,0.0
Lawrence Roberts,MEM,54,13.4,.099,0.1
Bernard Robinson,TOT,31,7.6,.010,0.0
Bernard Robinson,CHA,21,6.3,-0.016,-0.1
Bernard Robinson,NJN,10,16.2,.181,0.1
Clifford Robinson,NJN,50,5.9,.013,-0.5
Nate Robinson,NYK,64,15.2,.114,1.0
Sergio Rodríguez,POR,67,14.1,.050,0.2
Rajon Rondo,BOS,78,13.1,.064,0.8
Jalen Rose,PHO,29,13.4,.111,0.2
Malik Rose,NYK,65,7.7,.007,-0.4
Quinton Ross,LAC,81,10.5,.090,0.4
Brandon Roy,POR,57,18.0,.114,2.0
Michael Ruffin,WAS,30,4.4,.002,-0.3
John Salmons,SAC,79,12.7,.081,0.8
Jamal Sampson,DEN,22,11.3,.083,0.0
Brian Scalabrine,BOS,54,6.6,.043,-0.2
Luke Schenscher,POR,11,3.9,-0.013,-0.2
Thabo Sefolosha,CHI,71,8.5,.047,-0.1
Mouhamed Sene,SEA,28,8.5,-0.011,-0.3
Wayne Simien,MIA,8,6.3,.025,-0.1
Cedric Simmons,NOK,43,8.0,.025,-0.3
James Singleton,LAC,53,11.9,.083,0.1
Brian Skinner,MIL,67,8.9,.035,-0.6
Uroš Slokar,TOR,20,13.9,.042,-0.1
Craig Smith,MIN,82,15.7,.121,0.1
J.R. Smith,DEN,63,15.6,.120,1.2
Joe Smith,TOT,65,13.9,.088,-0.1
Joe Smith,DEN,11,12.4,.060,-0.1
Joe Smith,PHI,54,14.1,.091,0.0
Josh Smith,ATL,72,18.3,.079,2.7
Steven Smith,PHI,8,-1.8,-0.154,-0.1
Eric Snow,CLE,82,8.6,.069,-0.3
Kirk Snyder,HOU,39,12.2,.117,0.3
Darius Songaila,WAS,37,13.6,.078,-0.2
Pape Sow,TOR,7,16.4,.128,0.0
Vassilis Spanoulis,HOU,31,5.4,-0.010,-0.3
Jerry Stackhouse,DAL,67,16.8,.122,1.3
DeShawn Stevenson,WAS,82,12.9,.061,0.4
Peja Stojaković,NOK,13,15.8,.100,0.5
Damon Stoudamire,MEM,62,12.6,.036,0.1
Salim Stoudamire,ATL,61,11.4,.036,-0.3
Amar'e Stoudemire,PHO,82,23.1,.201,2.6
Mike Sweetney,CHI,48,10.9,.049,-0.3
Stromile Swift,MEM,54,14.2,.047,-0.5
Wally Szczerbiak,BOS,32,14.8,.083,0.1
Donell Taylor,WAS,47,10.3,-0.022,-0.1
Maurice Taylor,SAC,12,6.3,-0.030,-0.1
Sebastian Telfair,BOS,78,8.6,.015,-0.9
Jason Terry,DAL,81,18.9,.182,4.3
Etan Thomas,WAS,65,15.6,.105,0.3
Kenny Thomas,SAC,62,10.2,.041,-0.3
Kurt Thomas,PHO,67,11.4,.115,0.1
Tim Thomas,LAC,76,13.6,.092,1.4
Tyrus Thomas,CHI,72,14.8,.110,0.2
Dijon Thompson,ATL,6,11.6,.064,0.0
Jamaal Tinsley,IND,72,15.2,.060,1.6
Jake Tsakalidis,TOT,36,8.4,.031,-0.3
Jake Tsakalidis,MEM,23,6.5,-0.039,-0.3
Jake Tsakalidis,HOU,13,12.0,.169,0.0
P.J. Tucker,TOR,17,12.8,.085,0.0
Ronny Turiaf,LAL,72,15.5,.137,0.4
Hedo Türkoğlu,ORL,73,14.2,.105,1.3
Ime Udoka,POR,75,12.1,.088,1.2
Beno Udrih,SAS,73,10.3,.053,-0.2
Anderson Varejão,CLE,81,14.4,.164,1.0
Jacque Vaughn,SAS,64,10.9,.107,0.0
Charlie Villanueva,MIL,39,15.8,.085,0.2
Marcus Vinicius,NOK,13,6.9,.045,0.0
Jake Voskuhl,CHA,73,10.9,.077,-0.5
Sasha Vujačić,LAL,73,11.7,.091,0.2
Dwyane Wade,MIA,51,28.9,.219,4.9
Von Wafer,LAC,1,-40.7,-1.068,0.0
Dajuan Wagner,GSW,1,17.2,.122,0.0
Antoine Walker,MIA,78,9.6,-0.007,-0.7
Ben Wallace*,CHI,77,14.6,.146,3.7
Gerald Wallace,CHA,72,19.8,.141,3.7
Rasheed Wallace,DET,75,15.7,.123,2.5
Luke Walton,LAL,60,14.7,.092,1.2
Hakim Warrick,MEM,82,15.9,.082,0.0
Earl Watson,SEA,77,13.5,.044,0.7
Chris Webber*,TOT,61,16.0,.090,1.4
Chris Webber*,PHI,18,13.8,.014,0.2
Chris Webber*,DET,43,16.9,.123,1.2
Martell Webster,POR,82,9.9,.036,0.0
Bonzi Wells,HOU,28,8.9,-0.009,-0.4
David Wesley,CLE,35,6.6,.043,-0.1
David West,NOK,52,18.9,.131,1.4
Delonte West,BOS,69,14.0,.081,1.3
James White,SAS,6,12.1,.108,-0.1
Chris Wilcox,SEA,82,16.6,.112,0.6
Damien Wilkins,SEA,82,13.1,.066,0.6
Mike Wilks,SEA,47,12.7,.070,0.1
Aaron Williams,LAC,38,9.4,.089,-0.1
Alvin Williams,LAC,2,6.6,-0.309,0.0
Deron Williams,UTA,80,17.1,.117,2.4
Eric Williams,TOT,21,11.4,.057,0.0
Eric Williams,SAS,16,14.8,.120,0.0
Eric Williams,CHA,5,2.4,-0.111,-0.1
Jason Williams,MIA,61,15.0,.110,1.1
Justin Williams,SAC,26,17.3,.132,-0.1
Lou Williams,PHI,61,14.6,.078,0.3
Marcus Williams,NJN,79,11.5,-0.004,-0.6
Marvin Williams,ATL,64,12.2,.051,-0.6
Mo Williams,MIL,68,16.3,.061,0.9
Shammond Williams,LAL,30,10.8,.067,0.1
Shawne Williams,IND,46,9.7,.063,-0.1
Shelden Williams,ATL,81,12.3,.070,-0.5
Corliss Williamson,SAC,68,12.7,.054,-0.7
Kevin Willis,DAL,5,6.3,.048,-0.1
Metta World Peace,SAC,70,18.5,.122,3.2
Antoine Wright,NJN,63,8.1,.049,-0.4
Bracey Wright,MIN,19,13.8,.077,0.1
Dorell Wright,MIA,66,12.7,.072,0.5
Lorenzen Wright,ATL,67,6.6,.033,-0.8
