Player,Tm,G,PER,WS/48,VORP
Shareef Abdur-Rahim,SAC,80,13.1,.067,-0.2
Hassan Adams,NJN,61,13.0,.095,0.1
Maurice Ager,DAL,32,2.9,-0.060,-0.4
LaMarcus Aldridge,POR,63,17.1,.118,0.2
Malik Allen,CHI,60,10.4,.073,-0.2
Ray Allen*,SEA,55,21.6,.136,3.2
Tony Allen,BOS,33,17.0,.111,0.6
Rafer Alston,HOU,82,12.9,.104,2.0
Lou Amundson,TOT,11,9.6,.039,-0.1
Lou Amundson,UTA,1,0.0,-0.004,0.0
Lou Amundson,PHI,10,9.8,.040,-0.1
Alan Anderson,CHA,17,10.1,.024,-0.2
Derek Anderson,CHA,50,13.7,.117,0.7
Carmelo Anthony,DEN,65,22.1,.140,2.5
Rafael Araújo,UTA,28,8.3,.027,-0.2
Gilbert Arenas,WAS,74,24.0,.177,5.0
Trevor Ariza,ORL,57,16.2,.128,1.2
Darrell Armstrong,IND,81,15.1,.121,1.2
Hilton Armstrong,NOK,56,12.2,.091,-0.1
Carlos Arroyo,ORL,72,14.4,.094,0.4
Chucky Atkins,MEM,75,17.4,.114,1.2
James Augustine,ORL,2,16.6,.168,0.0
Kelenna Azubuike,GSW,41,13.4,.083,0.2
Renaldo Balkman,NYK,68,16.1,.125,0.9
Marcus Banks,PHO,45,11.3,.037,-0.2
Leandro Barbosa,PHO,80,18.4,.151,3.1
J.J. Barea,DAL,33,9.6,.015,-0.2
Andrea Bargnani,TOR,65,12.8,.057,0.1
Matt Barnes,GSW,76,14.7,.099,1.3
Andre Barrett,CHI,6,8.2,.014,0.0
Earl Barron,MIA,28,6.6,-0.062,-0.4
Brent Barry,SAS,75,16.6,.201,2.6
Brandon Bass,NOK,21,7.2,-0.011,-0.1
Maceo Baston,IND,47,13.7,.127,0.1
Esteban Batista,ATL,13,12.5,.101,0.0
Tony Battie,ORL,66,9.8,.081,0.0
Shane Battier,HOU,82,12.0,.144,3.2
Charlie Bell,MIL,82,13.1,.068,0.5
Raja Bell,PHO,78,12.0,.095,1.4
Mike Bibby,SAC,82,16.0,.076,1.7
Andris Biedriņš,GSW,82,16.2,.136,1.0
Chauncey Billups,DET,70,21.3,.216,4.3
Steve Blake,TOT,82,9.9,.045,0.0
Steve Blake,MIL,33,6.8,-0.008,-0.3
Steve Blake,DEN,49,11.0,.064,0.3
Will Blalock,DET,14,4.5,-0.032,-0.2
Andray Blatche,WAS,56,12.1,.033,-0.3
Mark Blount,MIN,82,12.7,.052,-0.7
Keith Bogans,ORL,59,9.2,.080,0.1
Andrew Bogut,MIL,66,15.5,.085,1.2
Matt Bonner,SAS,56,16.4,.163,0.4
Josh Boone,NJN,61,14.6,.122,-0.2
Calvin Booth,WAS,44,9.6,.072,-0.1
Carlos Boozer,UTA,74,24.1,.185,4.3
Chris Bosh*,TOR,69,22.6,.174,3.1
Bruce Bowen,SAS,82,7.1,.079,0.6
Earl Boykins,TOT,66,16.2,.105,1.3
Earl Boykins,DEN,31,17.7,.134,0.9
Earl Boykins,MIL,35,15.1,.083,0.4
Cedric Bozeman,ATL,23,-0.1,-0.077,-0.3
Elton Brand,LAC,80,23.1,.180,4.8
Ronnie Brewer,UTA,56,15.2,.124,0.6
Primož Brezec,CHA,58,9.7,.038,-1.0
Andre Brown,SEA,38,11.1,-0.002,-0.2
Dee Brown,UTA,49,8.6,.024,0.0
Devin Brown,NOK,58,14.3,.102,0.9
Kwame Brown,LAL,41,13.7,.080,0.5
P.J. Brown,CHI,72,9.7,.075,-0.5
Shannon Brown,CLE,23,7.5,.015,-0.2
Kobe Bryant*,LAL,77,26.1,.199,6.1
Greg Buckner,DAL,76,7.8,.076,0.1
Pat Burke,PHO,23,9.3,.015,-0.2
Caron Butler,WAS,63,18.3,.103,1.8
Jackie Butler,SAS,11,9.6,.047,-0.2
Rasual Butler,NOK,81,10.8,.056,0.6
Andrew Bynum,LAL,82,15.4,.112,0.5
José Calderón,TOR,77,19.1,.162,1.6
Marcus Camby,DEN,70,19.1,.155,4.0
Brian Cardinal,MEM,28,17.7,.144,0.5
Rodney Carney,PHI,67,11.4,.055,-0.1
Matt Carroll,CHA,72,14.6,.117,1.1
Anthony Carter,DEN,2,3.3,-0.115,-0.1
Vince Carter,NJN,82,21.8,.161,4.6
Sam Cassell,LAC,58,17.1,.095,0.8
Kelvin Cato,NYK,18,12.3,.036,0.0
Tyson Chandler,NOK,73,17.0,.150,1.6
Josh Childress,ATL,55,16.2,.130,1.9
Doug Christie,LAC,7,4.1,-0.031,-0.1
Speedy Claxton,ATL,42,7.3,-0.034,-0.7
Jarron Collins,UTA,82,8.0,.067,-0.2
Jason Collins,NJN,80,3.0,.015,-1.8
Mardy Collins,NYK,52,9.2,.002,-0.2
Nick Collison,SEA,82,14.2,.093,-0.3
Will Conroy,TOT,7,1.1,-0.062,-0.1
Will Conroy,MEM,3,4.2,.035,0.0
Will Conroy,LAC,4,-0.4,-0.108,-0.1
Brian Cook,LAL,65,14.8,.083,0.2
Jamal Crawford,NYK,59,14.5,.069,0.8
Austin Croshere,DAL,61,10.9,.083,0.1
Eddy Curry,NYK,81,17.0,.079,0.1
Samuel Dalembert,PHI,82,16.1,.117,0.9
Erick Dampier,DAL,76,14.9,.160,1.1
Antonio Daniels,WAS,80,15.0,.116,0.8
Marquis Daniels,IND,45,11.6,.036,-0.1
Baron Davis,GSW,63,21.0,.139,3.2
Dale Davis,DET,46,13.2,.132,0.1
Paul Davis,LAC,31,11.2,.066,-0.1
Ricky Davis,MIN,81,15.9,.091,1.8
Carlos Delfino,DET,82,12.8,.101,0.7
Luol Deng,CHI,82,18.7,.176,3.9
Boris Diaw,PHO,73,13.0,.097,1.4
Yakhouba Diawara,DEN,64,5.3,.021,-0.6
Dan Dickau,POR,50,12.2,.048,0.0
Travis Diener,ORL,26,11.6,.113,0.2
Ike Diogu,TOT,59,14.9,.094,-0.3
Ike Diogu,GSW,17,18.4,.137,0.1
Ike Diogu,IND,42,13.5,.076,-0.3
DeSagana Diop,DAL,81,10.6,.123,0.7
Juan Dixon,TOT,81,11.8,.042,0.0
Juan Dixon,POR,55,11.2,.023,0.0
Juan Dixon,TOR,26,12.9,.076,0.0
Michael Doleac,MIA,56,11.0,.086,-0.3
Keyon Dooling,ORL,66,11.1,.071,0.3
Quincy Douby,SAC,42,9.0,-0.006,-0.2
Chris Duhon,CHI,78,11.9,.121,1.2
Tim Duncan*,SAS,80,26.1,.230,6.2
Mike Dunleavy,TOT,82,14.1,.095,1.3
Mike Dunleavy,GSW,39,14.6,.086,0.6
Mike Dunleavy,IND,43,13.8,.102,0.7
Ronald Dupree,DET,19,7.4,-0.007,-0.1
Monta Ellis,GSW,77,15.0,.072,0.6
Francisco Elson,SAS,70,11.2,.111,0.1
Melvin Ely,TOT,30,5.2,-0.039,-0.4
Melvin Ely,CHA,24,4.8,-0.047,-0.3
Melvin Ely,SAS,6,6.7,-0.009,-0.1
Maurice Evans,LAL,76,12.1,.072,-0.1
