Rk,Tm,Overall
1,MIL,.707
2,BOS,.695
3,PHI,.659
4,DEN,.646
5,MEM,.622
6,CLE,.622
7,SAC,.585
8,NYK,.573
9,PHO,.549
10,BRK,.549
11,LAC,.537
12,GSW,.537
13,MIA,.537
14,LAL,.524
15,MIN,.512
16,NOP,.512
17,ATL,.500
18,TOR,.500
19,CHI,.488
20,OKC,.488
21,DAL,.463
22,UTA,.451
23,IND,.427
24,WAS,.427
25,ORL,.415
26,POR,.402
27,CHO,.329
28,HOU,.268
29,SAS,.268
30,DET,.207
