Rk,Tm,Overall
1,HOU,.793
2,TOR,.720
3,GSW,.707
4,BOS,.671
5,PHI,.634
6,CLE,.610
7,POR,.598
8,OKC,.585
9,IND,.585
10,UTA,.585
11,NOP,.585
12,SAS,.573
13,MIN,.573
14,DEN,.561
15,MIA,.537
16,MIL,.537
17,WAS,.524
18,LAC,.512
19,DET,.476
20,CHO,.439
21,LAL,.427
22,NYK,.354
23,BRK,.341
24,SAC,.329
25,CHI,.329
26,ORL,.305
27,DAL,.293
28,ATL,.293
29,MEM,.268
30,PHO,.256
