Rk,Tm,Overall
1,CLE,.744
2,ORL,.720
3,LAL,.695
4,DAL,.671
5,PHO,.659
6,DEN,.646
7,UTA,.646
8,ATL,.646
9,BOS,.610
10,POR,.610
11,OKC,.610
12,SAS,.610
13,MIA,.573
14,MIL,.561
15,CHA,.537
16,HOU,.512
17,CHI,.500
18,TOR,.488
19,MEM,.488
20,NOH,.451
21,IND,.390
22,NYK,.354
23,LAC,.354
24,PHI,.329
25,DET,.329
26,GSW,.317
27,WAS,.317
28,SAC,.305
29,MIN,.183
30,NJN,.146
