Player,Tm,G,PER,WS/48,VORP
Shareef Abdur-Rahim,SAC,6,5.5,-0.005,-0.1
Arron Afflalo,DET,75,10.2,.092,0.1
Maurice Ager,TOT,26,1.8,-0.114,-0.4
Maurice Ager,DAL,12,-4.4,-0.181,-0.2
Maurice Ager,NJN,14,7.1,-0.056,-0.1
Blake Ahearn,MIA,12,9.0,-0.006,-0.1
LaMarcus Aldridge,POR,76,18.5,.113,1.5
Malik Allen,TOT,73,9.8,.045,-0.4
Malik Allen,NJN,48,10.1,.023,-0.3
Malik Allen,DAL,25,9.1,.096,-0.1
Ray Allen*,BOS,73,16.4,.177,3.3
Tony Allen,BOS,75,10.7,.093,0.1
Lance Allred,CLE,3,-1.0,-0.125,0.0
Morris Almond,UTA,9,2.0,-0.081,-0.1
Rafer Alston,HOU,74,13.2,.095,1.6
Lou Amundson,PHI,16,7.4,.043,-0.1
Chris Andersen,NOH,5,6.1,.012,0.0
Derek Anderson,CHA,28,10.0,.032,-0.1
Carmelo Anthony,DEN,77,21.1,.140,2.5
Joel Anthony,MIA,24,8.8,.054,-0.4
Gilbert Arenas,WAS,13,18.2,.070,0.5
Trevor Ariza,TOT,35,16.1,.157,0.7
Trevor Ariza,ORL,11,12.7,.085,0.1
Trevor Ariza,LAL,24,17.1,.176,0.6
Darrell Armstrong,NJN,50,8.7,.024,-0.1
Hilton Armstrong,NOH,65,7.7,.032,-0.7
Carlos Arroyo,ORL,62,12.8,.107,0.3
Chucky Atkins,DEN,24,8.9,.040,-0.1
James Augustine,ORL,25,10.8,.098,0.0
Kelenna Azubuike,GSW,81,13.5,.094,0.5
Renaldo Balkman,NYK,65,11.5,.065,0.0
Marcus Banks,TOT,36,12.6,.068,0.1
Marcus Banks,PHO,24,10.1,.046,-0.1
Marcus Banks,MIA,12,15.5,.093,0.1
Leandro Barbosa,PHO,82,15.8,.109,1.4
J.J. Barea,DAL,44,11.7,.052,0.0
Andrea Bargnani,TOR,78,10.6,.036,-0.8
Matt Barnes,GSW,73,12.9,.077,0.6
Andre Barrett,LAC,4,12.5,.078,0.0
Earl Barron,MIA,46,9.4,-0.019,-1.2
Brent Barry,SAS,31,16.7,.203,0.8
Brandon Bass,DAL,79,15.9,.132,0.6
Maceo Baston,TOR,15,17.6,.201,0.0
Shane Battier,HOU,80,11.7,.135,2.9
Marco Belinelli,GSW,33,8.2,-0.002,-0.2
Charlie Bell,MIL,68,10.9,.038,-0.2
Raja Bell,PHO,75,10.5,.082,0.8
Mike Bibby,TOT,48,14.5,.063,0.3
Mike Bibby,SAC,15,13.5,.035,0.1
Mike Bibby,ATL,33,14.9,.076,0.2
Andris Biedriņš,GSW,76,19.2,.185,1.6
Chauncey Billups,DET,78,23.6,.257,6.2
Steve Blake,POR,81,12.0,.075,0.9
Andray Blatche,WAS,82,15.5,.085,0.1
Mark Blount,MIA,69,11.4,.021,-0.8
Keith Bogans,ORL,82,10.9,.106,1.4
Andrew Bogut,MIL,78,17.5,.085,1.4
Matt Bonner,SAS,68,12.4,.110,0.1
Josh Boone,NJN,70,14.8,.100,0.1
Calvin Booth,PHI,31,7.1,.065,0.0
Carlos Boozer,UTA,81,21.9,.173,3.5
Chris Bosh*,TOR,67,23.8,.200,3.9
Bruce Bowen,SAS,81,7.0,.085,0.4
Ryan Bowen,NOH,53,9.9,.107,0.2
Earl Boykins,CHA,36,10.0,.001,-0.4
Elton Brand,LAC,8,18.0,.080,0.1
Corey Brewer,MIN,79,8.3,-0.005,-1.0
Ronnie Brewer,UTA,76,18.4,.178,3.1
Primož Brezec,TOT,50,5.4,.017,-0.6
Primož Brezec,CHA,20,1.5,-0.054,-0.5
Primož Brezec,DET,17,10.8,.148,0.0
Primož Brezec,TOR,13,10.2,.072,-0.2
Aaron Brooks,HOU,51,13.1,.112,0.3
Andre Brown,MEM,33,13.5,.068,-0.2
Devin Brown,CLE,78,11.3,.064,-0.1
Kwame Brown,TOT,38,10.1,.043,0.0
Kwame Brown,LAL,23,9.7,.047,0.0
Kwame Brown,MEM,15,11.1,.034,-0.1
P.J. Brown,BOS,18,10.2,.116,0.0
Shannon Brown,TOT,21,6.3,-0.102,-0.4
Shannon Brown,CLE,15,8.1,-0.052,-0.2
Shannon Brown,CHI,6,-11.8,-0.592,-0.1
Kobe Bryant*,LAL,82,24.2,.208,6.3
Greg Buckner,MIN,31,7.2,.008,-0.3
Caron Butler,WAS,58,20.7,.150,3.5
Rasual Butler,NOH,51,8.8,.063,0.0
Andrew Bynum,LAL,35,22.6,.230,1.6
José Calderón,TOR,82,20.5,.197,4.1
Marcus Camby,DEN,79,17.2,.148,3.8
Brian Cardinal,MEM,37,7.3,.003,-0.4
Rodney Carney,PHI,70,12.1,.075,0.1
Matt Carroll,CHA,80,10.7,.071,0.0
Anthony Carter,DEN,70,12.8,.092,1.0
Vince Carter,NJN,76,18.8,.126,3.3
Sam Cassell,TOT,55,15.4,.067,0.3
