Rk,Tm,Overall
1,GSW,.890
2,SAS,.817
3,CLE,.695
4,TOR,.683
5,OKC,.671
6,LAC,.646
7,MIA,.585
8,ATL,.585
9,BOS,.585
10,CHO,.585
11,IND,.549
12,POR,.537
13,DET,.537
14,DAL,.512
15,MEM,.512
16,CHI,.512
17,HOU,.500
18,WAS,.500
19,UTA,.488
20,ORL,.427
21,SAC,.402
22,DEN,.402
23,MIL,.402
24,NYK,.390
25,NOP,.366
26,MIN,.354
27,PHO,.280
28,BRK,.256
29,LAL,.207
30,PHI,.122
