Rk,Tm,Overall
1,UTA,.722
2,PHO,.708
3,PHI,.681
4,BRK,.667
5,DEN,.653
6,LAC,.653
7,MIL,.639
8,DAL,.583
9,POR,.583
10,LAL,.583
11,NYK,.569
12,ATL,.569
13,MIA,.556
14,GSW,.542
15,MEM,.528
16,BOS,.500
17,WAS,.472
18,IND,.472
19,CHO,.458
20,SAS,.458
21,CHI,.431
22,NOP,.431
23,SAC,.431
24,TOR,.375
25,MIN,.319
26,CLE,.306
27,OKC,.306
28,ORL,.292
29,DET,.278
30,HOU,.236
