Rk,Tm,Overall
1,MIL,.767
2,TOR,.736
3,LAL,.732
4,LAC,.681
5,BOS,.667
6,DEN,.630
7,IND,.616
8,HOU,.611
9,OKC,.611
10,UTA,.611
11,MIA,.603
12,PHI,.589
13,DAL,.573
14,BRK,.486
15,POR,.473
16,MEM,.466
17,PHO,.466
18,ORL,.452
19,SAS,.451
20,SAC,.431
21,NOP,.417
22,CHO,.354
23,WAS,.347
24,CHI,.338
25,NYK,.318
26,DET,.303
27,ATL,.299
28,MIN,.297
29,CLE,.292
30,GSW,.231
