Rk,Tm,Overall
1,SAS,.756
2,OKC,.720
3,LAC,.695
4,IND,.683
5,POR,.659
6,MIA,.659
7,HOU,.659
8,GSW,.622
9,MEM,.610
10,DAL,.598
11,TOR,.585
12,CHI,.585
13,PHO,.585
14,BRK,.537
15,WAS,.537
16,CHA,.524
17,MIN,.488
18,ATL,.463
19,NYK,.451
20,DEN,.439
21,NOP,.415
22,CLE,.402
23,DET,.354
24,SAC,.341
25,LAL,.329
26,BOS,.305
27,UTA,.305
28,ORL,.280
29,PHI,.232
30,MIL,.183
