Rk,Tm,Overall
1,DAL,.817
2,PHO,.744
3,SAS,.707
4,DET,.646
5,HOU,.634
6,UTA,.622
7,CLE,.610
8,CHI,.598
9,TOR,.573
10,DEN,.549
11,MIA,.537
12,LAL,.512
13,GSW,.512
14,NJN,.500
15,WAS,.500
16,LAC,.488
17,ORL,.488
18,NOK,.476
19,PHI,.427
20,IND,.427
21,NYK,.402
22,SAC,.402
23,CHA,.402
24,POR,.390
25,MIN,.390
26,SEA,.378
27,ATL,.366
28,MIL,.341
29,BOS,.293
30,MEM,.268
