Rk,Tm,Overall
1,GSW,.817
2,SAS,.744
3,HOU,.671
4,BOS,.646
5,CLE,.622
6,TOR,.622
7,LAC,.622
8,UTA,.622
9,WAS,.598
10,OKC,.573
11,ATL,.524
12,MEM,.524
13,MIL,.512
14,IND,.512
15,CHI,.500
16,POR,.500
17,MIA,.500
18,DEN,.488
19,DET,.451
20,CHO,.439
21,NOP,.415
22,DAL,.402
23,SAC,.390
24,NYK,.378
25,MIN,.378
26,ORL,.354
27,PHI,.341
28,LAL,.317
29,PHO,.293
30,BRK,.244
